Positive Defects	Negative Defects	Total Defects
0	0	0
22	22	44
17	17	34
15	15	30
14	14	28
12	12	24
10	10	20
9	9	18
9	9	18
9	9	18
9	9	18
9	9	18
9	9	18
9	9	18
9	9	18
9	9	18
9	9	18
9	9	18
9	9	18
9	9	18
9	9	18
9	9	18
9	9	18
9	9	18
9	9	18
9	9	18
9	9	18
9	9	18
9	9	18
9	9	18
9	9	18
9	9	18
9	9	18
9	9	18
9	9	18
9	9	18
9	9	18
9	9	18
9	9	18
9	9	18
9	9	18
9	9	18
9	9	18
9	9	18
9	9	18
9	9	18
9	9	18
9	9	18
9	9	18
9	9	18
9	9	18
9	9	18
9	9	18
9	9	18
9	9	18
9	9	18
9	9	18
9	9	18
9	9	18
9	9	18
9	9	18
9	9	18
9	9	18
9	9	18
9	9	18
9	9	18
9	9	18
9	9	18
9	9	18
9	9	18
9	9	18
9	9	18
9	9	18
9	9	18
9	9	18
9	9	18
9	9	18
9	9	18
9	9	18
9	9	18
9	9	18
9	9	18
9	9	18
9	9	18
9	9	18
9	9	18
9	9	18
9	9	18
9	9	18
9	9	18
9	9	18
9	9	18
9	9	18
9	9	18
9	9	18
9	9	18
9	9	18
9	9	18
9	9	18
9	9	18
9	9	18
